arquivo	escopo	categoria	git_blob_base_70d6b726	bytes	revisao
_product/proto/admin/Comunidades/Comunidades - Detalhes.png	_product	visual_binario	f9ed90474367a3ed08490e363137a7fa74a77065	1432617	inventariado_nao_revisado
_product/proto/admin/Configurações.png	_product	visual_binario	b5327133d375687d744282fbef32bdfdfe330eba	1261836	inventariado_nao_revisado
_product/proto/admin/Dashboard.png	_product	visual_binario	a68dbdb89f258b240608a74f360cb841f2175e19	1357229	inventariado_nao_revisado
_product/proto/admin/Financeiro.png	_product	visual_binario	71fd8dd8620fa3541c536acb135aba3147ae61f0	1323050	inventariado_nao_revisado
_product/proto/admin/Notificações.png	_product	visual_binario	8bacfdb5bfc72bbc6e78dd5cbda336b70d7afa07	1363145	inventariado_nao_revisado
_product/proto/admin/Pacientes/Pacientes - Dashboard.png	_product	visual_binario	3f7c1689cbd94f99a3ca82dfcf000832a132678d	1298531	inventariado_nao_revisado
_product/proto/admin/Pacientes/Pacientes - Detalhes.png	_product	visual_binario	ca919b14b6044d5bd41634b06ee94ec3e5b9d36a	1338097	inventariado_nao_revisado
_product/proto/admin/Psicólogos/Detalhes do psicólogo/Atividades.png	_product	visual_binario	2153ee1b563282a23a95d584936999488790b56f	1298175	inventariado_nao_revisado
_product/proto/admin/Psicólogos/Detalhes do psicólogo/Avaliações.png	_product	visual_binario	cd54c1d4be64592e7bbae7a459a473645f29a0a7	1275338	inventariado_nao_revisado
_product/proto/admin/Psicólogos/Detalhes do psicólogo/Denúncias.png	_product	visual_binario	6cb1f66938181bae7ab1266601c0c7f4fadc97fb	1336241	inventariado_nao_revisado
_product/proto/admin/Psicólogos/Detalhes do psicólogo/Estatísticas.png	_product	visual_binario	dded304f29cf454f518b659ac14fff94eeb1f158	1362798	inventariado_nao_revisado
_product/proto/admin/Psicólogos/Detalhes do psicólogo/Geral.png	_product	visual_binario	83f1102a9b4b7d556b07e16dc526937325faec2e	1354992	inventariado_nao_revisado
_product/proto/admin/Psicólogos/Detalhes do psicólogo/Perfil e Cadastro.png	_product	visual_binario	de5f1b9f9176d12b4d07fafeddcc04737d229950	1358677	inventariado_nao_revisado
_product/proto/admin/Psicólogos/Detalhes do psicólogo/Plano e pagamentos.png	_product	visual_binario	555ebfb52d382658904d6969290ae6af68eea14d	1282226	inventariado_nao_revisado
_product/proto/admin/Psicólogos/Detalhes do psicólogo/Publicações.png	_product	visual_binario	22711e81634492536a6720dda095233b14f18e5b	1310077	inventariado_nao_revisado
_product/proto/admin/Psicólogos/Psicólogos - Dashboard.png	_product	visual_binario	90c3efcf137417f4bec7631195730dbd88aa82de	1389003	inventariado_nao_revisado
_product/proto/admin/Psicólogos/Psicólogos- Lista.png	_product	visual_binario	dd8e516648af65fb4c95cef3381c1eec91ff2012	1346031	inventariado_nao_revisado
_product/proto/admin/Tráfego.png	_product	visual_binario	7564ee2a22fd6a0713f879a1e28207b526a08b47	1449741	inventariado_nao_revisado
_product/proto/post_add_24dp_64748B_FILL0_wght400_GRAD0_opsz24 1.jpg	_product	visual_binario	d57e61a14460375d5131af05868c9e1894920cbf	1698	inventariado_nao_revisado
_product/tasks/ARCHITECTURE.md	_product	documentacao	772b2d99603c21b0ec4f9998915efa88198f64d6	39321	inventariado_nao_revisado
_product/tasks/DATA-MODEL.md	_product	documentacao	45e1e822783aa67760f4b5d8d01eea3360f824f8	133533	inventariado_nao_revisado
_product/tasks/PACKAGES.md	_product	documentacao	e639723f4e2eec72e0f48e58da1bb704e30a4ba8	17803	inventariado_nao_revisado
_product/tasks/PROTO-INVENTORY.md	_product	documentacao	c0d620393aa50fd9fc56f0719f7ad5830c75f247	14556	inventariado_nao_revisado
_product/tasks/QUALITY-REVIEW.md	_product	documentacao	d6037c22530d21b8dffae1e6407674d4200a5d81	24914	inventariado_nao_revisado
_product/tasks/README.md	_product	documentacao	fd4058107394cb887b37ab5ff48a5c42f424d704	228130	inventariado_nao_revisado
_product/tasks/RESEARCH.md	_product	documentacao	a2062c6475c3e4b831855ee0ade6132af3481eeb	7254	inventariado_nao_revisado
_product/tasks/ROADMAP-REVALIDADO.md	_product	documentacao	f98a25f7673af31099ceb739844cda1005d369b8	5513	inventariado_nao_revisado
_product/tasks/TASK-00-setup-agente-executor-governanca.md	_product	documentacao	2d4a6e5b0a70ced0414cc4138c4c90e518e278a2	6644	inventariado_nao_revisado
_product/tasks/TASK-01-design-system-lectum-foundation.md	_product	documentacao	1007209e7f4aa7e851f83c609e65fce367fbae8c	6346	inventariado_nao_revisado
_product/tasks/TASK-02-form-composition-foundation.md	_product	documentacao	fbc921f37abb65e9d2d61918a851dcbfbbe8655f	10307	inventariado_nao_revisado
_product/tasks/TASK-03-decisoes-externas-integracoes.md	_product	documentacao	469523e2f2b518ad0a7341426082e550902c3f07	6945	inventariado_nao_revisado
_product/tasks/TASK-04-selecao-perfil-login.md	_product	documentacao	9731c388ad8ff3ba4e4823cd930682384089bf1c	32136	inventariado_nao_revisado
_product/tasks/TASK-05-recuperacao-senha.md	_product	documentacao	e1b2c2bb79a16ce071dc9006984ff9085184f95d	10629	inventariado_nao_revisado
_product/tasks/TASK-06-verificacao-email-codigo.md	_product	documentacao	c357b592c018e92bcc491ae75a859ac9a0330e72	11767	inventariado_nao_revisado
_product/tasks/TASK-07-cadastro-paciente.md	_product	documentacao	66b78be45d064a0ee423dca801d9263e7f0f6e36	12801	inventariado_nao_revisado
_product/tasks/TASK-08-boas-vindas-paciente.md	_product	documentacao	be194bfce170b777a380fdb4cd36a93270d2f1a7	30518	inventariado_nao_revisado
_product/tasks/TASK-09-cadastro-inicial-psicologo.md	_product	documentacao	3702ceec927294bfb50729ed9df1b864e98849ad	13581	inventariado_nao_revisado
_product/tasks/TASK-10-consulta-cfp-resultado.md	_product	documentacao	8bca97790403f2c543a71620d03f8713c23230b2	27798	inventariado_nao_revisado
_product/tasks/TASK-100-matrizes-conversao-engajamentos-favoritos-visibilidade-admin.md	_product	documentacao	b4bdcbfdd0b895247ef24712be54b0b248ebf648	7574	inventariado_nao_revisado
_product/tasks/TASK-101-label-video-sem-view-visibilidade-admin.md	_product	documentacao	980cfe08ab10cbe438a1f48934c4dfbd75267dc0	2392	inventariado_nao_revisado
_product/tasks/TASK-101A-centralizacao-textos-blocos-matriz-conversao-admin.md	_product	documentacao	cb3802d8006864be0a034a277c100723e6230516	2593	inventariado_nao_revisado
_product/tasks/TASK-102-distribuicao-cliques-whatsapp-dashboard-admin.md	_product	documentacao	5e63eb711fee0eb3644ebee2dd57fadf66044b35	18430	inventariado_nao_revisado
_product/tasks/TASK-103-funil-comportamental-conversao-admin-psicologos.md	_product	documentacao	82c2bef36732e1d78518c0f7abb5791479f1c465	6639	inventariado_nao_revisado
_product/tasks/TASK-104-reorganizacao-estatisticas-psicologo-admin.md	_product	documentacao	c1ba48891836ce0fa598e7780de9c1cfaa34def3	16539	inventariado_nao_revisado
_product/tasks/TASK-105-seletor-global-periodo-estatisticas-psicologo-admin.md	_product	documentacao	d5207f4ca8a0f4cec5272d10169c3b0013ec7350	6036	inventariado_nao_revisado
_product/tasks/TASK-106-visibilidade-temporal-contador-psicologo-admin.md	_product	documentacao	95b1499c7ccaf582c1b72cb7e4880d94710f40cd	6904	inventariado_nao_revisado
_product/tasks/TASK-107-eixo-direito-visibilidade-comparativos-scores-psicologo-admin.md	_product	documentacao	7b9a69c30bd0bab9d07017dc252fa3e996976040	5295	inventariado_nao_revisado
_product/tasks/TASK-108-bloco-visibilidade-estatisticas-psicologo-admin.md	_product	documentacao	98b78b323e6c7d11f27442e03add906d89dae149	7444	inventariado_nao_revisado
_product/tasks/TASK-109-copy-contadores-visibilidade-psicologo-admin.md	_product	documentacao	9d383d6d1d5cd24414c69e49cfef7c50b37035be	2852	inventariado_nao_revisado
_product/tasks/TASK-11-envio-confirmacao-crp.md	_product	documentacao	8c374e9145ae4bfe5d4b8f6f2497bb8d73722cee	13638	inventariado_nao_revisado
_product/tasks/TASK-110-formula-atividade-cobertura-video-psicologo-admin.md	_product	documentacao	46f07591cad9178ac1f458bf79a6e695d49e93d5	4980	inventariado_nao_revisado
_product/tasks/TASK-111-cobertura-visibilidade-atividade-engajamento-psicologo-admin.md	_product	documentacao	8d383e5e6ead2c5d8536dc051c5b51718963c860	12441	inventariado_nao_revisado
_product/tasks/TASK-112-posicao-media-video-explorar-psicologo-admin.md	_product	documentacao	51dfefcce44c39da38313fd50080218bd3ebf2ca	7303	inventariado_nao_revisado
_product/tasks/TASK-113-tag-resultado-titulo-visibilidade-psicologo-admin.md	_product	documentacao	dd6944d7d240a1760481403f9a6c5bc56e83b62b	2298	inventariado_nao_revisado
_product/tasks/TASK-114-tabela-trafego-whatsapp-dashboard-psicologos-admin.md	_product	documentacao	d694fdb8f7293a019cdead70071e0159346fee76	5585	inventariado_nao_revisado
_product/tasks/TASK-115-grupo-comunidades-tabela-trafego-whatsapp-psicologos-admin.md	_product	documentacao	8346cd5174a81702243d28f0190e7dbd21a9718a	4198	inventariado_nao_revisado
_product/tasks/TASK-116-grupos-expansiveis-trafego-whatsapp-psicologos-admin.md	_product	documentacao	8f0a1d9f93eeef05979886827ff8b08ff48ff9ac	4838	inventariado_nao_revisado
_product/tasks/TASK-117-medias-reais-comunidades-trafego-whatsapp-psicologos-admin.md	_product	documentacao	736deb0f657f76e3262a87e98644ddb79bb4aa62	6582	inventariado_nao_revisado
_product/tasks/TASK-118-copy-medias-engajamento-comunidades-trafego-whatsapp-admin.md	_product	documentacao	d433ac6f84df63b90b06fd5dc8c46784a9625dab	4429	inventariado_nao_revisado
_product/tasks/TASK-119-label-tempo-permanencia-comunidades-trafego-whatsapp-admin.md	_product	documentacao	cc86b7ec666fb48530ccc8297dd5277990ddb53b	4082	inventariado_nao_revisado
_product/tasks/TASK-12-shell-privado-mobile.md	_product	documentacao	6603f5a5afd0fc819a585f64a5d0bffd971efa03	20166	inventariado_nao_revisado
_product/tasks/TASK-120-expansivo-perfil-medias-engajamento-trafego-whatsapp-admin.md	_product	documentacao	2ec84067b85113e934c642943d68afece447dc69	5665	inventariado_nao_revisado
_product/tasks/TASK-121-medias-engajamento-video-apresentacao-trafego-whatsapp-admin.md	_product	documentacao	bd717d1a5a5075623f9c9773d4c5ddf6e47bc3d5	7788	inventariado_nao_revisado
_product/tasks/TASK-122-quantidade-considerada-titulos-trafego-whatsapp-admin.md	_product	documentacao	b1ccd9c95d8d5adc0efefd609781b3fe9e29383e	7556	inventariado_nao_revisado
_product/tasks/TASK-123-donut-atividade-dashboard-psicologos-admin.md	_product	documentacao	ab1799135bc71aaf3ee09783ed7b0ebc42967139	5229	inventariado_nao_revisado
_product/tasks/TASK-124-reposicionamento-matriz-dashboard-psicologos-admin.md	_product	documentacao	a6c1f97f2d33c13bb5646f418221ea76d83a8306	4356	inventariado_nao_revisado
_product/tasks/TASK-125-tabela-comportamental-conversao-admin-psicologos.md	_product	documentacao	4986abf086bf5a0ea0b80281fe32093a271f27e1	6493	inventariado_nao_revisado
_product/tasks/TASK-126-tags-tabela-comportamental-conversao-admin-psicologos.md	_product	documentacao	e23b8f65aa7b45a9c71a4ebec37faefecfa41ff7	8390	inventariado_nao_revisado
_product/tasks/TASK-127-matriz-expansivel-funil-comportamental-conversao-admin-psicologos.md	_product	documentacao	715351f67b371a88a998684061aab2691415e181	5082	inventariado_nao_revisado
